b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,00;0,94;0,94;0,94;0,94;0,94;0,94
1,10;0,89;0,88;0,78;0,76;0,75;0,76
1,20;0,78;0,79;0,55;0,53;0,54;0,54
1,30;0,70;0,62;0,33;0,36;0,37;0,36
1,40;0,52;0,45;0,23;0,23;0,23;0,22
1,50;0,42;0,33;0,14;0,13;0,13;0,12
1,60;0,28;0,23;0,09;0,08;0,09;0,09
1,70;0,22;0,14;0,05;0,05;0,05;0,06
1,80;0,14;0,13;0,04;0,03;0,04;0,04
1,90;0,12;0,07;0,03;0,02;0,02;0,02
2,00;0,09;0,07;0,03;0,03;0,03;0,03
