b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,8.568000000000001171e-01,8.568000000000001171e-01,8.568000000000001171e-01,8.568000000000001171e-01,8.568000000000001171e-01,8.568000000000001171e-01
1.100000000000000089e+00,6.585999999999999632e-01,6.454000000000000847e-01,4.163999999999999924e-01,4.289999999999999925e-01,4.289999999999999925e-01,4.289999999999999925e-01
1.199999999999999956e+00,3.616000000000000880e-01,3.108000000000000207e-01,2.089999999999999913e-01,2.133999999999999508e-01,2.133999999999999508e-01,2.133999999999999508e-01
1.300000000000000044e+00,1.578000000000000236e-01,1.098000000000000087e-01,1.011999999999999983e-01,9.600000000000000200e-02,9.600000000000000200e-02,9.600000000000000200e-02
1.399999999999999911e+00,1.009999999999999926e-01,6.379999999999999560e-02,5.199999999999999067e-02,5.199999999999999067e-02,5.199999999999999067e-02,5.199999999999999067e-02
1.500000000000000000e+00,4.440000000000000197e-02,2.960000000000000131e-02,3.259999999999999704e-02,2.259999999999999856e-02,2.259999999999999856e-02,2.259999999999999856e-02
1.600000000000000089e+00,2.620000000000000107e-02,1.680000000000000243e-02,1.620000000000000259e-02,1.440000000000000134e-02,1.440000000000000134e-02,1.440000000000000134e-02
1.700000000000000178e+00,1.439999999999999961e-02,8.000000000000000167e-03,9.400000000000000369e-03,8.399999999999999481e-03,8.399999999999999481e-03,8.399999999999999481e-03
1.800000000000000044e+00,5.199999999999999761e-03,4.599999999999999922e-03,1.799999999999999951e-03,2.200000000000000133e-03,2.200000000000000133e-03,2.200000000000000133e-03
1.899999999999999911e+00,4.799999999999999580e-03,1.600000000000000077e-03,2.200000000000000133e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03
2.000000000000000000e+00,8.000000000000000383e-04,5.999999999999999474e-04,5.999999999999999474e-04,1.199999999999999895e-03,1.199999999999999895e-03,1.199999999999999895e-03
