Label,b,rho_mean,rho_std
Proportional,1.7,0.9888000000000001,0.01693517050401325
Proportional,1.75,0.96164,0.023459548162741754
Proportional,1.8,0.9258,0.13309891058908033
Proportional,1.85,0.8953,0.15835741220416555
Proportional,1.9,0.8845599999999999,0.09363122556070703
Proportional,1.95,0.81806,0.125258598108074
Proportional,2.0,0.68452,0.20566470188148475
Fermi K=0.05,1.7,0.97884,0.14007231846442755
Fermi K=0.05,1.75,0.9321799999999999,0.11768299622290385
Fermi K=0.05,1.8,0.8796200000000001,0.13186499004663824
Fermi K=0.05,1.85,0.8047600000000001,0.17961264543455732
Fermi K=0.05,1.9,0.7810600000000001,0.1529019175811736
Fermi K=0.05,1.95,0.7179599999999999,0.14578504175669055
Fermi K=0.05,2.0,0.5354800000000001,0.1094311180606321
Fermi K=0.1,1.7,0.97,0.17058722109231983
Fermi K=0.1,1.75,0.95288,0.14818807509378074
Fermi K=0.1,1.8,0.8770399999999999,0.16265607397204693
Fermi K=0.1,1.85,0.7806799999999999,0.14744442207150463
Fermi K=0.1,1.9,0.72968,0.12999929845964553
Fermi K=0.1,1.95,0.65606,0.1211086966324054
Fermi K=0.1,2.0,0.5358200000000001,0.10959747989803414
Fermi K=0.2,1.7,0.98,0.13999999999999999
Fermi K=0.2,1.75,0.9768600000000001,0.1408798793298745
Fermi K=0.2,1.8,0.84556,0.15718004453492182
Fermi K=0.2,1.85,0.7399800000000001,0.13721880191868752
Fermi K=0.2,1.9,0.6629600000000001,0.12102114856503386
Fermi K=0.2,1.95,0.58458,0.1188929922241004
Fermi K=0.2,2.0,0.53094,0.10828017547085893
Fermi K=0.5,1.7,0.99,0.09949874371066199
Fermi K=0.5,1.75,0.98456,0.10654016331881608
Fermi K=0.5,1.8,0.7820199999999999,0.13549007196101123
Fermi K=0.5,1.85,0.68868,0.1033774520870001
Fermi K=0.5,1.9,0.6122,0.1259464965769195
Fermi K=0.5,1.95,0.55806,0.11119620676983545
Fermi K=0.5,2.0,0.51204,0.11564807996676812
