Label,b,step,rho_t
Proportional,1.7,0,0.49890000000000007
Proportional,1.7,100,0.3786
Proportional,1.7,200,0.48570000000000013
Proportional,1.7,300,0.5636199999999998
Proportional,1.7,400,0.6235400000000002
Proportional,1.7,500,0.6775999999999999
Proportional,1.7,600,0.7095000000000004
Proportional,1.7,700,0.7378399999999999
Proportional,1.7,800,0.7655599999999998
Proportional,1.7,900,0.7816600000000002
Proportional,1.7,1000,0.7968799999999999
Proportional,1.7,1100,0.8156800000000001
Proportional,1.7,1200,0.8282600000000001
Proportional,1.7,1300,0.8510399999999998
Proportional,1.7,1400,0.86556
Proportional,1.7,1500,0.8780199999999997
Proportional,1.7,1600,0.8917999999999999
Proportional,1.7,1700,0.9018999999999999
Proportional,1.7,1800,0.9063999999999999
Proportional,1.7,1900,0.9157599999999999
Proportional,1.7,2000,0.9258600000000005
Proportional,1.7,2100,0.9307199999999995
Proportional,1.7,2200,0.9329799999999991
Proportional,1.7,2300,0.9360799999999999
Proportional,1.7,2400,0.9384599999999997
Proportional,1.7,2500,0.9424599999999995
Proportional,1.7,2600,0.9433199999999999
Proportional,1.7,2700,0.9453599999999998
Proportional,1.7,2800,0.9473000000000001
Proportional,1.7,2900,0.9494199999999996
Proportional,1.7,3000,0.9507199999999991
Proportional,1.7,3100,0.9504399999999998
Proportional,1.7,3200,0.9492599999999998
Proportional,1.7,3300,0.9526799999999997
Proportional,1.7,3400,0.9532399999999996
Proportional,1.7,3500,0.9528599999999993
Proportional,1.7,3600,0.95198
Proportional,1.7,3700,0.9541000000000001
Proportional,1.7,3800,0.9543200000000003
Proportional,1.7,3900,0.9546799999999996
Proportional,1.7,4000,0.95426
Proportional,1.7,4100,0.9528999999999995
Proportional,1.7,4200,0.9547799999999996
Proportional,1.7,4300,0.9550999999999995
Proportional,1.7,4400,0.9562999999999998
Proportional,1.7,4500,0.9546599999999994
Proportional,1.7,4600,0.9554799999999998
Proportional,1.7,4700,0.9595999999999992
Proportional,1.7,4800,0.9618199999999995
