Topo,Z,b,Cost_Pct,C_mean,C_std,V_mean,V_std,Tstop_mean,Stop_max_frac
ER,16,2.0,0.2,0.0,0.0,0.0034800000000000005,0.003318071729182478,4.58,0.0
ER,16,1.1,0.5,0.0,0.0,0.002,0.0032984845004941283,205.2,0.0
ER,16,1.2,0.5,0.0,0.0,0.00308,0.0041992380261185475,8.54,0.0
ER,16,1.3,0.5,0.0,0.0,0.00364,0.004412527620310155,4.48,0.0
ER,16,1.4,0.5,0.0,0.0,0.004920000000000001,0.005895218401382599,4.5,0.0
ER,16,1.5,0.5,0.0,0.0,0.006240000000000001,0.006519386474201388,3.88,0.0
ER,16,1.6,0.5,0.0,0.0,0.005960000000000001,0.005830814694363044,3.82,0.0
ER,16,1.7,0.5,0.0,0.0,0.005920000000000001,0.0059324194052679715,3.66,0.0
ER,16,1.8,0.5,0.0,0.0,0.006040000000000001,0.006151292547099349,3.6,0.0
ER,16,1.9,0.5,0.0,0.0,0.006880000000000001,0.0065134936861871605,3.5,0.0
ER,16,2.0,0.5,0.0,0.0,0.00728,0.006321518804844292,3.38,0.0
BA,4,1.1,-0.1,1.0,0.0,0.9964799999999999,0.0016761861471805586,84.74,0.0
BA,4,1.2,-0.1,1.0,0.0,0.9964400000000001,0.0018017769007288348,84.2,0.0
BA,4,1.3,-0.1,1.0,0.0,0.9771199999999999,0.13616998788279303,93.8,0.0
BA,4,1.4,-0.1,1.0,0.0,0.9772,0.1396051574978518,98.86,0.0
BA,4,1.5,-0.1,1.0,0.0,0.9775600000000001,0.13623349955132183,99.18,0.0
BA,4,1.6,-0.1,1.0,0.0,0.9583200000000001,0.1892005750519802,124.5,0.0
BA,4,1.7,-0.1,1.0,0.0,0.9587600000000002,0.18928492385818796,162.8,0.0
BA,4,1.8,-0.1,0.9982,0.012599999999999993,0.9770400000000001,0.13958695641069047,413.78,0.02
BA,4,1.9,-0.1,0.9745199999999999,0.14440321880069018,0.9571200000000001,0.19497247395465853,416.46,0.02
BA,4,2.0,-0.1,0.96556,0.15511404320692565,0.9374400000000002,0.23434096184832903,720.14,0.04
BA,4,1.1,-0.05,1.0,0.0,0.9967999999999999,0.0015491933384829681,84.54,0.0
BA,4,1.2,-0.05,1.0,0.0,0.9768000000000001,0.13955930638979258,95.24,0.0
BA,4,1.3,-0.05,1.0,0.0,0.9773600000000002,0.13962832950372212,101.08,0.0
BA,4,1.4,-0.05,1.0,0.0,0.97744,0.13764129612874185,102.28,0.0
BA,4,1.5,-0.05,1.0,0.0,0.9773200000000002,0.1362007988229144,109.22,0.0
BA,4,1.6,-0.05,1.0,0.0,0.95828,0.1891911245275528,131.3,0.0
BA,4,1.7,-0.05,1.0,0.0,0.95816,0.18916864010718057,174.42,0.0
BA,4,1.8,-0.05,0.9782,0.14030951500165625,0.9572000000000002,0.1949847173498477,417.66,0.02
