Topo,Z,Corr,Theta,L,b,Update,K,VigilanceMode,Cost,C_mean,C_std,V_mean,V_std
BA,4,max,0.4,3,1.8,proportional,,amnesic,0.0,0.9199079333333334,0.13003100771292977,0.0,0.0
BA,4,max,0.4,3,1.9,proportional,,amnesic,0.0,0.8683044000000001,0.15313779169890684,0.0,0.0
BA,4,max,0.4,3,2.0,proportional,,amnesic,0.0,0.7055053333333334,0.1660782999725665,0.0,0.0
BA,4,max,0.4,3,1.0,proportional,,memory,0.0,0.9926969333333341,0.002501127642573305,0.4322,0.43557359883261987
BA,4,max,0.4,3,1.1,proportional,,memory,0.0,0.9975729333333335,0.003722916994925947,0.3794999999999999,0.42729927451377675
BA,4,max,0.4,3,1.2,proportional,,memory,0.0,0.9979969333333334,0.003487252649292536,0.3342000000000001,0.40799906862638796
BA,4,max,0.4,3,1.3,proportional,,memory,0.0,0.9981600000000003,0.0034255510505607095,0.3023,0.3949038743795761
BA,4,max,0.4,3,1.4,proportional,,memory,0.0,0.99792,0.0038876213807414904,0.29523999999999995,0.40727020809285813
BA,4,max,0.4,3,1.5,proportional,,memory,0.0,0.9977911333333332,0.003663601756013554,0.24772,0.37821369832410884
BA,4,max,0.4,3,1.6,proportional,,memory,0.0,0.9880049333333335,0.0981514338588648,0.24141999999999997,0.3810310533276782
BA,4,max,0.4,3,1.7,proportional,,memory,0.0,0.9795272000000003,0.0166725271744335,0.21073999999999998,0.36943802240700674
BA,4,max,0.4,3,1.8,proportional,,memory,0.0,0.9364077333333336,0.1348034570533297,0.18431999999999998,0.34538137992659645
BA,4,max,0.4,3,1.9,proportional,,memory,0.0,0.8812637333333335,0.18195141723809446,0.15099999999999997,0.3182541751493607
BA,4,max,0.4,3,2.0,proportional,,memory,0.0,0.7625078666666667,0.19120103616497486,0.10414,0.26693268889366095
BA,4,max,0.6,1,1.0,proportional,,amnesic,0.0,0.9926969333333341,0.002501127642573305,0.0,0.0
BA,4,max,0.6,1,1.1,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,1,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,1,1.3,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,1,1.4,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,1,1.5,proportional,,amnesic,0.0,0.9974379333333333,0.0023188853059652207,0.0,0.0
BA,4,max,0.6,1,1.6,proportional,,amnesic,0.0,0.9882136,0.09792580306842297,0.0,0.0
BA,4,max,0.6,1,1.7,proportional,,amnesic,0.0,0.9460834666666668,0.16531695023527787,0.0,0.0
BA,4,max,0.6,1,1.8,proportional,,amnesic,0.0,0.9047765333333334,0.18388617533313614,0.0,0.0
BA,4,max,0.6,1,1.9,proportional,,amnesic,0.0,0.8693238666666667,0.12694134614478014,0.0,0.0
BA,4,max,0.6,1,2.0,proportional,,amnesic,0.0,0.6991575333333333,0.179707997760948,0.0,0.0
BA,4,max,0.6,1,1.0,proportional,,memory,0.0,0.9926969333333341,0.002501127642573305,0.07008,0.04653164084792197
BA,4,max,0.6,1,1.1,proportional,,memory,0.0,0.9998194666666665,0.0005740814344093357,0.05772,0.042035242356860514
BA,4,max,0.6,1,1.2,proportional,,memory,0.0,0.9998999999999999,0.00043588989435416447,0.05388,0.04183282921342997
BA,4,max,0.6,1,1.3,proportional,,memory,0.0,0.9998763333333333,0.00049062986727957,0.046,0.03685213698009927
BA,4,max,0.6,1,1.4,proportional,,memory,0.0,0.9998589999999998,0.0005140223730540496,0.03966,0.03497205169846345
BA,4,max,0.6,1,1.5,proportional,,memory,0.0,0.9974249333333332,0.00255609261178058,0.03442,0.030070976040029028
BA,4,max,0.6,1,1.6,proportional,,memory,0.0,0.9885376666666665,0.09943618309191521,0.0294,0.026772373820787725
BA,4,max,0.6,1,1.7,proportional,,memory,0.0,0.9689286000000001,0.0974839495223929,0.024839999999999994,0.022521420914320658
BA,4,max,0.6,1,1.8,proportional,,memory,0.0,0.9243202000000003,0.13220026598209922,0.01936,0.018583605678123928
BA,4,max,0.6,1,1.9,proportional,,memory,0.0,0.8831922,0.12837382011421003,0.01692,0.01731685883756058
BA,4,max,0.6,1,2.0,proportional,,memory,0.0,0.7330274,0.15138178892058174,0.01242,0.012490940717175788
BA,4,max,0.6,2,1.0,proportional,,amnesic,0.0,0.9926969333333341,0.002501127642573305,0.0,0.0
BA,4,max,0.6,2,1.1,proportional,,amnesic,0.0,0.9999359333333334,0.00036440379922408715,0.0,0.0
BA,4,max,0.6,2,1.2,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
BA,4,max,0.6,2,1.3,proportional,,amnesic,0.0,1.0,0.0,0.0,0.0
