b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,00;0,91;0,91;0,91;0,91;0,91;0,91
1,10;0,90;0,91;0,86;0,88;0,90;0,90
1,20;0,89;0,87;0,81;0,80;0,81;0,81
1,30;0,87;0,84;0,77;0,78;0,77;0,77
1,40;0,81;0,84;0,76;0,73;0,76;0,76
1,50;0,81;0,76;0,65;0,70;0,66;0,66
1,60;0,79;0,70;0,58;0,55;0,57;0,57
1,70;0,77;0,64;0,48;0,47;0,47;0,47
1,80;0,72;0,65;0,41;0,41;0,44;0,44
1,90;0,68;0,59;0,34;0,34;0,35;0,35
2,00;0,66;0,59;0,32;0,32;0,28;0,28
