b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9158,0.9967999999999999,0.9742000000000001,1.0,1.0,0.9922
1.1,0.9166,0.9653999999999999,1.0,1.0,0.9998,0.9586
1.2,0.972,0.9556,0.9998,0.9996,0.9598,0.9418000000000001
1.3,0.8775999999999999,0.9954,0.9989999999999999,0.9956,0.8640000000000001,0.9394
1.4,0.914,0.9936,0.9946,0.9214,0.9336,0.9381999999999999
1.5,0.9103999999999999,0.9436000000000001,0.9314,0.8488,0.8622,0.8690000000000001
1.6,0.8641999999999999,0.9109999999999999,0.7662,0.8172,0.7494000000000001,0.8284
1.7000000000000002,0.7585999999999998,0.8371999999999999,0.7367999999999999,0.6928,0.6792,0.7875999999999999
1.8,0.7152000000000001,0.611,0.7176,0.5484,0.6903999999999999,0.7314
1.9,0.5036,0.5466,0.524,0.5628,0.6846000000000001,0.7127999999999999
2.0,0.3508,0.517,0.34600000000000003,0.39720000000000005,0.41960000000000003,0.4996
