b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9408092473307818,0.9791286039167821,0.9971406999186879,0.9991857453641356,1.0,0.9991898682254012
1.1,0.736824281882356,0.924165230188595,0.8937186179419827,0.8976028012680675,0.9225141504296053,0.9604580214849722
1.2,0.6013007072355291,0.7695744116187413,0.6853776887230231,0.6781399891032943,0.7211330266364839,0.7287733068252824
1.3,0.3990992753678052,0.4120963027952654,0.2749358766427272,0.29673381587819586,0.23798533436423866,0.20019969293552758
1.4,0.10268063787637727,0.08171442199775308,0.07722935253828335,0.05992244032996437,0.07328787333848974,0.039208011857613016
1.5,0.022441405202746356,0.030647031112376766,0.01353760331609028,0.014475192758933404,0.00871173271173271,0.01122988171284038
1.6,0.003654969476579338,0.014516100537873396,0.005063877558329513,0.0026345295989966045,0.011054836036978894,0.004874319801639504
1.7000000000000002,0.005144151543080994,0.0073755821864043124,0.0008163477808147859,0.0016223776223776222,0.0026437586263547107,0.0014233916917020615
1.8,0.0,0.0004060913705583756,0.0008163477808147859,0.0004040404040404041,0.0004081632653061224,0.0
1.9,0.0,0.0008163477808147859,0.00041025641025641023,0.0004040404040404041,0.0004081632653061224,0.0
2.0,0.0004060913705583756,0.0008163477808147859,0.0004040404040404041,0.0004081632653061224,0.0,0.0
