b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.999,0.9870000000000001,0.982,0.9844999999999999,1.0,0.999
1.1,0.9975000000000002,0.9710000000000001,1.0,0.982,1.0,0.9993333333333332
1.2,0.9810000000000001,0.9858333333333335,0.9803333333333333,0.9886666666666667,0.9721666666666667,0.9984999999999999
1.3,0.9648333333333333,0.9235,0.9720000000000001,0.9718333333333333,0.9968333333333333,0.9976666666666667
1.4,0.9823333333333333,0.9081666666666667,0.9871666666666666,0.9344999999999999,0.9896666666666667,0.9525
1.5,0.9041666666666668,0.9574999999999999,0.9516666666666668,0.9608333333333334,0.9309999999999998,0.8818333333333334
1.6,0.914,0.966,0.8119999999999999,0.8029999999999999,0.9145,0.8639999999999999
1.7000000000000002,0.9083333333333334,0.9541666666666668,0.6795,0.8061666666666667,0.7815,0.7818333333333333
1.8,0.9613333333333334,0.8461666666666666,0.6265,0.763,0.6866666666666666,0.6966666666666667
1.9,0.9236666666666666,0.732,0.6439999999999999,0.6063333333333334,0.6691666666666666,0.5526666666666666
2.0,0.7700000000000001,0.6326666666666667,0.3511666666666667,0.462,0.5095,0.44799999999999995
