b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.7214758485590506,0.8820790559131066,0.001017300321143686,0.0,0.0002030456852791878,0.0
1.1,0.5364603891470164,0.7948614115882511,0.0008142546358644981,0.0,0.00040817389040739296,0.0
1.2,0.21330048178544467,0.15059925307196473,0.0004060913705583756,0.0002030456852791878,0.00020512820512820512,0.0
1.3,0.006869856956548573,0.019365166383531068,0.0002030456852791878,0.00040817389040739296,0.0004040404040404041,0.0
1.4,0.0006112089505853102,0.003298969072164948,0.0002030456852791878,0.00020512820512820512,0.0004040404040404041,0.0
1.5,0.0004081632653061224,0.002233502538071066,0.00040817389040739296,0.0004040404040404041,0.0004040404040404041,0.0
1.6,0.0,0.0002030456852791878,0.00020512820512820512,0.0004040404040404041,0.0,0.0
1.7000000000000002,0.0,0.00040817389040739296,0.0004040404040404041,0.0004040404040404041,0.0,0.0
1.8,0.0002030456852791878,0.00020512820512820512,0.0004040404040404041,0.0,0.0,0.0
1.9,0.00040817389040739296,0.0004040404040404041,0.0004040404040404041,0.0,0.0,0.0
2.0,0.00020512820512820512,0.0004040404040404041,0.0,0.0,0.0,0.0
