b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.915,0.9182000000000001,0.0,0.0,0.0,0.0
1.1,0.919,0.753,0.0,0.0,0.0,0.0
1.2,0.937,0.7406,0.0,0.0,0.0,0.0
1.3,0.878,0.72,0.0,0.0,0.0,0.0
1.4,0.9329999999999999,0.6754000000000001,0.0,0.0,0.0,0.0
1.5,0.9514,0.5186,0.0,0.0,0.0,0.0
1.6,0.7709999999999999,0.321,0.0,0.0,0.0,0.0
1.7000000000000002,0.7492,0.2396,0.0,0.0,0.0,0.0
1.8,0.6122,0.26659999999999995,0.0,0.0,0.0,0.0
1.9,0.452,0.3838,0.0,0.0,0.0,0.0
2.0,0.3936,0.38260000000000005,0.0,0.0,0.0,0.0
