b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9986,0.8388,0.0030000000000000005,0.0,0.0,0.0
1.1,0.9990000000000001,0.8362,0.0082,0.0,0.0,0.0
1.2,0.915,0.882,0.009000000000000001,0.0,0.0,0.0
1.3,0.8608000000000001,0.8214,0.008,0.0,0.0,0.0
1.4,0.9303999999999999,0.8180000000000001,0.0,0.0,0.0,0.0
1.5,0.9106000000000001,0.9162,0.0002,0.0,0.0,0.0
1.6,0.8959999999999999,0.778,0.0,0.0,0.0,0.0
1.7000000000000002,0.9209999999999999,0.5706,0.0,0.0,0.0,0.0
1.8,0.7572,0.6232,0.0004,0.0,0.0,0.0
1.9,0.7274,0.31679999999999997,0.0,0.0,0.0,0.0
2.0,0.5796000000000001,0.225,0.0,0.0,0.0,0.0
