b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.665502803664454,0.606558417185993,0.0006112089505853102,0.0,0.0,0.0
1.1,0.5243553037527934,0.37281872224097495,0.0,0.0,0.0,0.0
1.2,0.19508037357815622,0.06008160488539965,0.0,0.0,0.0,0.0
1.3,0.003250802859214752,0.0,0.0002030456852791878,0.0,0.0,0.0
1.4,0.0006112089505853102,0.0,0.00040817389040739296,0.0,0.0,0.0
1.5,0.0,0.0002030456852791878,0.00040817389040739296,0.0,0.0,0.0
1.6,0.0,0.00040817389040739296,0.00020512820512820512,0.0,0.0,0.0
1.7000000000000002,0.0002030456852791878,0.00040817389040739296,0.0004040404040404041,0.0,0.0,0.0
1.8,0.00040817389040739296,0.00020512820512820512,0.0004040404040404041,0.0,0.0,0.0
1.9,0.00040817389040739296,0.0004040404040404041,0.0,0.0,0.0,0.0
2.0,0.00020512820512820512,0.0004040404040404041,0.0,0.0,0.0,0.0
