Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,1,0.5,0.0,0.5,1.5,50,15000,1.0,0.0,0.0,0.9964,0.002227105745132011,0.0003149603149604727
BA,4,max,1,0.5,0.0,0.5,1.6,50,15000,1.0,0.0,0.0,0.9965200000000002,0.0026171740484728966,0.000370124303444127
BA,4,max,1,0.5,0.0,0.5,1.7,50,15000,0.96,0.19595917942265426,0.027712812921102038,0.95648,0.19301131987528608,0.027295922625916128
BA,4,max,1,0.5,0.0,0.5,1.8,50,15000,0.96,0.19595917942265426,0.027712812921102038,0.9569200000000001,0.19371162484476764,0.02739496070447994
BA,4,max,1,0.5,0.0,0.5,1.9,50,15000,0.94,0.23748684174075838,0.033585711247493336,0.9376399999999998,0.23538077746494085,0.03328786878128427
BA,4,max,1,0.5,0.0,0.5,2.0,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.95736,0.19338808236290056,0.02734920488789391
BA,4,max,1,0.5,0.0,0.7,1.0,50,15000,1.0,0.0,0.0,0.9964399999999999,0.002050950998927085,0.00029004827184453305
BA,4,max,1,0.5,0.0,0.7,1.1,50,15000,1.0,0.0,0.0,0.99684,0.0016044936896105276,0.0002269096736589255
BA,4,max,1,0.5,0.0,0.7,1.2,50,15000,1.0,0.0,0.0,0.99712,0.0015574337867145442,0.00022025439836697945
BA,4,max,1,0.5,0.0,0.7,1.3,50,15000,1.0,0.0,0.0,0.99692,0.0017982213434391233,0.00025430690120403754
BA,4,max,1,0.5,0.0,0.7,1.4,50,15000,1.0,0.0,0.0,0.9970800000000001,0.0015078461459976625,0.0002132416469641896
BA,4,max,1,0.5,0.0,0.7,1.5,50,15000,1.0,0.0,0.0,0.99688,0.0018400000000000014,0.00026021529547664966
BA,4,max,1,0.5,0.0,0.7,1.6,50,15000,1.0,0.0,0.0,0.9970399999999999,0.001886372179608257,0.0002667733120085293
