Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
ER,16,max,1,0.5,0.0,0.5,1.6,50,15000,0.0,0.0,0.0,0.0037200000000000006,0.0021169789795838787,0.00029938603841862766
ER,16,max,1,0.5,0.0,0.5,1.7,50,15000,0.0,0.0,0.0,0.00468,0.003264597984438513,0.00046168387452888155
ER,16,max,1,0.5,0.0,0.5,1.8,50,15000,0.0,0.0,0.0,0.0048400000000000006,0.003557302348690648,0.000503078522697998
ER,16,max,1,0.5,0.0,0.5,1.9,50,15000,0.0,0.0,0.0,0.004720000000000001,0.0039142815432720215,0.0005535630045441981
ER,16,max,1,0.5,0.0,0.5,2.0,50,15000,0.0,0.0,0.0,0.0046,0.0035383612025908268,0.0005003998401278721
ER,16,max,1,0.5,0.0,0.7,1.0,50,15000,1.0,0.0,0.0,0.9965999999999999,0.001754992877478426,0.00024819347291981736
ER,16,max,1,0.5,0.0,0.7,1.1,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9769199999999999,0.13928457775360487,0.01969781388885579
ER,16,max,1,0.5,0.0,0.7,1.2,50,15000,0.0,0.0,0.0,0.004080000000000001,0.0028272955275315667,0.0003998399679871936
ER,16,max,1,0.5,0.0,0.7,1.3,50,15000,0.0,0.0,0.0,0.0032000000000000006,0.0016000000000000003,0.00022627416997969525
ER,16,max,1,0.5,0.0,0.7,1.4,50,15000,0.0,0.0,0.0,0.0035200000000000006,0.0027293955374771174,0.0003859948186180743
ER,16,max,1,0.5,0.0,0.7,1.5,50,15000,0.0,0.0,0.0,0.00436,0.003912850623266879,0.0005533606418964038
ER,16,max,1,0.5,0.0,0.7,1.6,50,15000,0.0,0.0,0.0,0.003720000000000001,0.0027132268611378594,0.00038370822248161426
ER,16,max,1,0.5,0.0,0.7,1.7,50,15000,0.0,0.0,0.0,0.004,0.00233238075793812,0.0003298484500494128
ER,16,max,1,0.5,0.0,0.7,1.8,50,15000,0.0,0.0,0.0,0.004,0.0024,0.0003394112549695428
ER,16,max,1,0.5,0.0,0.7,1.9,50,15000,0.0,0.0,0.0,0.00412,0.0028399999999999996,0.0004016366517139589
ER,16,max,1,0.5,0.0,0.7,2.0,50,15000,0.0,0.0,0.0,0.00504,0.004218814999499268,0.0005966305389434907
ER,16,max,1,0.5,0.0,1.0,1.0,50,15000,1.0,0.0,0.0,0.9965599999999999,0.0022285421243494613,0.0003151634496574757
ER,16,max,1,0.5,0.0,1.0,1.1,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9570399999999999,0.19475081103810582,0.027541923825324912
ER,16,max,1,0.5,0.0,1.0,1.2,50,15000,0.0,0.0,0.0,0.00356,0.0023423065555131764,0.0003312521698042143
ER,16,max,1,0.5,0.0,1.0,1.3,50,15000,0.0,0.0,0.0,0.0038,0.00223606797749979,0.00031622776601683794
ER,16,max,1,0.5,0.0,1.0,1.4,50,15000,0.0,0.0,0.0,0.004200000000000001,0.0028635642126552704,0.0004049691346263317
ER,16,max,1,0.5,0.0,1.0,1.5,50,15000,0.0,0.0,0.0,0.0032400000000000007,0.0018714700104463338,0.0002646658270347723
ER,16,max,1,0.5,0.0,1.0,1.6,50,15000,0.0,0.0,0.0,0.004920000000000001,0.00289025950392002,0.0004087444189221426
ER,16,max,1,0.5,0.0,1.0,1.7,50,15000,0.0,0.0,0.0,0.004800000000000001,0.0033941125496954284,0.00048
ER,16,max,1,0.5,0.0,1.0,1.8,50,15000,0.0,0.0,0.0,0.0051600000000000005,0.0038176432520600975,0.0005398962863365518
ER,16,max,1,0.5,0.0,1.0,1.9,50,15000,0.0,0.0,0.0,0.00456,0.004176888794306117,0.0005907012781431915
ER,16,max,1,0.5,0.0,1.0,2.0,50,15000,0.0,0.0,0.0,0.00488,0.0036476841968569595,0.0005158604462449123
ER,16,max,1,0.5,0.0,2.0,1.0,50,15000,1.0,0.0,0.0,0.9966400000000002,0.0019774731350893256,0.00027965693268717677
ER,16,max,1,0.5,0.0,2.0,1.1,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9767600000000001,0.13926601308287676,0.01969518844794332
ER,16,max,1,0.5,0.0,2.0,1.2,50,15000,0.0,0.0,0.0,0.0031200000000000004,0.0017045820602130013,0.0002410643067731098
ER,16,max,1,0.5,0.0,2.0,1.3,50,15000,0.0,0.0,0.0,0.00332,0.0019436048981210149,0.0002748672406817517
ER,16,max,1,0.5,0.0,2.0,1.4,50,15000,0.0,0.0,0.0,0.004200000000000001,0.002918903903865285,0.0004127953488110059
ER,16,max,1,0.5,0.0,2.0,1.5,50,15000,0.0,0.0,0.0,0.0037199999999999998,0.002263095225570502,0.00032004999609436025
ER,16,max,1,0.5,0.0,2.0,1.6,50,15000,0.0,0.0,0.0,0.004560000000000001,0.0027724357521861534,0.0003920816241549711
ER,16,max,1,0.5,0.0,2.0,1.7,50,15000,0.0,0.0,0.0,0.00508,0.003964038344920494,0.0005605996789153558
ER,16,max,1,0.5,0.0,2.0,1.8,50,15000,0.0,0.0,0.0,0.005880000000000001,0.004654632101466237,0.0006582643845750733
ER,16,max,1,0.5,0.0,2.0,1.9,50,15000,0.0,0.0,0.0,0.00528,0.0037896701703446435,0.0005359402951822152
ER,16,max,1,0.5,0.0,2.0,2.0,50,15000,0.0,0.0,0.0,0.00488,0.00458100425671053,0.0006478518349128911
ER,16,max,1,0.5,0.1,0.0,1.0,50,15000,1.0,0.0,0.0,0.99664,0.0020567936211491923,0.0002908745434031657
ER,16,max,1,0.5,0.1,0.0,1.1,50,15000,0.8,0.4,0.0565685424949238,0.7976000000000001,0.39880160481121435,0.05639906382201747
ER,16,max,1,0.5,0.1,0.0,1.2,50,15000,0.0,0.0,0.0,0.0,0.0,0.0
ER,16,max,1,0.5,0.1,0.0,1.3,50,15000,0.0,0.0,0.0,0.0,0.0,0.0
ER,16,max,1,0.5,0.1,0.0,1.4,50,15000,0.0,0.0,0.0,0.0,0.0,0.0
