param,value,n_runs,mean_coop,std_coop,median_coop,ci95_coop,mean_vig,std_vig,ci95_vig
theta_global,0.0,20,0.5489999999999999,0.310693621298844,0.4375,0.13616748325035916,0.53575,0.313563034039074,0.13742505883112016
theta_global,0.1,20,0.569,0.29151870933910373,0.5025,0.1277637075558668,0.553,0.2954719685698227,0.12949629980488975
theta_global,0.2,20,0.5179999999999999,0.3307224945797498,0.49,0.14494552399545074,0.4615,0.3749880699856716,0.1643457677869244
theta_global,0.30000000000000004,20,0.3075,0.18310552033990501,0.2675,0.0802495325449576,0.0,0.0,0.0
theta_global,0.4,20,0.31375000000000003,0.24890219491113158,0.22,0.10908619660375772,0.0,0.0,0.0
theta_global,0.5,20,0.3155,0.204964053331053,0.2425,0.08982945701365684,0.0,0.0,0.0
theta_global,0.6000000000000001,20,0.29200000000000004,0.1632756790474964,0.2525,0.07155872141483745,0.0,0.0,0.0
theta_global,0.7000000000000001,20,0.32399999999999995,0.2137792762345509,0.25,0.09369289879286757,0.0,0.0,0.0
theta_global,0.8,20,0.33375,0.22570867926319724,0.25,0.0989211901890644,0.0,0.0,0.0
theta_global,0.9,20,0.33375,0.22570867926319724,0.25,0.0989211901890644,0.0,0.0,0.0
theta_global,1.0,20,0.33375,0.22570867926319724,0.25,0.0989211901890644,0.0,0.0,0.0
