b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,00;0,86;0,86;0,86;0,86;0,86;0,86
1,10;0,84;0,84;0,81;0,78;0,78;0,78
1,20;0,78;0,82;0,72;0,76;0,76;0,76
1,30;0,77;0,77;0,64;0,66;0,65;0,65
1,40;0,73;0,67;0,55;0,59;0,57;0,57
1,50;0,70;0,61;0,44;0,43;0,43;0,43
1,60;0,61;0,63;0,39;0,37;0,35;0,35
1,70;0,59;0,49;0,29;0,28;0,28;0,29
1,80;0,52;0,42;0,20;0,19;0,20;0,20
1,90;0,44;0,33;0,16;0,14;0,16;0,16
2,00;0,43;0,33;0,07;0,09;0,10;0,10
