b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,00;0,84;0,84;0,84;0,84;0,84;0,84
1,10;0,73;0,70;0,63;0,61;0,64;0,64
1,20;0,66;0,61;0,47;0,47;0,47;0,47
1,30;0,51;0,49;0,28;0,32;0,32;0,32
1,40;0,39;0,30;0,16;0,17;0,17;0,17
1,50;0,28;0,28;0,08;0,08;0,08;0,08
1,60;0,16;0,13;0,04;0,04;0,04;0,04
1,70;0,11;0,07;0,01;0,01;0,01;0,01
1,80;0,04;0,03;0,01;0,01;0,01;0,01
1,90;0,02;0,01;0,01;0,00;0,00;0,00
2,00;0,02;0,00;0,01;0,00;0,00;0,00
