b;theta_0;theta_0,2;theta_0,4;theta_0,6;theta_0,8;theta_1
1,0;0,85680;0,85680;0,85680;0,85680;0,85680;0,85680
1,1;0,71540;0,66500;0,43360;0,43940;0,43940;0,43940
1,2;0,38360;0,36880;0,21200;0,22140;0,22140;0,22140
1,3;0,21000;0,10980;0,08300;0,10500;0,10500;0,10500
1,4;0,11100;0,06860;0,05160;0,06080;0,06080;0,06080
1,5;0,06920;0,03880;0,02520;0,02220;0,02220;0,02220
1,6;0,04040;0,01960;0,01920;0,02100;0,01980;0,01980
1,7;0,01780;0,00740;0,00440;0,00720;0,00720;0,00720
1,8;0,01060;0,00560;0,00620;0,00500;0,00500;0,00500
1,9;0,00520;0,00380;0,00100;0,00080;0,00080;0,00080
2,0;0,00360;0,00060;0,00060;0,00060;0,00060;0,00060
