b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9990000000000001,0.9958,1.0,0.9742000000000001,1.0,1.0
1.1,0.9992,0.9566,0.9682,0.9702,1.0,1.0
1.2,0.9158,0.96,0.9825999999999999,0.9998,0.9996,0.9998
1.3,0.8658,0.9458,0.9994,0.9994,0.9974000000000001,0.884
1.4,0.9377999999999999,0.8987999999999999,0.9964,0.9938000000000001,0.9232,0.8660000000000001
1.5,0.9228000000000001,0.9570000000000001,0.93,0.9288,0.8594000000000002,0.8978000000000002
1.6,0.9091999999999999,0.902,0.814,0.7809999999999999,0.7896000000000001,0.7826000000000001
1.7000000000000002,0.9328,0.8415999999999998,0.6986,0.6981999999999999,0.7324,0.6312
1.8,0.7734000000000001,0.8158,0.5586,0.6859999999999999,0.608,0.631
1.9,0.7404,0.6256,0.4804,0.552,0.44839999999999997,0.6409999999999999
2.0,0.5996,0.3336,0.40840000000000004,0.37959999999999994,0.381,0.3616
