b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.8926985793812736,0.578797237038597,0.0002030456852791878,0.0,0.0,0.0
1.1,0.6976787429545745,0.49611251055406574,0.0006112089505853102,0.0,0.0,0.0
1.2,0.651655433247524,0.5099932701001716,0.0006112089505853102,0.0,0.0,0.0
1.3,0.2946001917633973,0.15608310564286965,0.0006112089505853102,0.0,0.0,0.0
1.4,0.044618910501929655,0.008570392624054698,0.0,0.0,0.0,0.0
1.5,0.020058651363945055,0.0006112089505853102,0.0,0.0,0.0,0.0
1.6,0.0022273705667469265,0.0016243654822335025,0.0002030456852791878,0.0,0.0,0.0
1.7000000000000002,0.0006112089505853102,0.0,0.00040817389040739296,0.0,0.0,0.0
1.8,0.0,0.0002030456852791878,0.00020512820512820512,0.0,0.0,0.0
1.9,0.0,0.00040817389040739296,0.0004040404040404041,0.0,0.0,0.0
2.0,0.0002030456852791878,0.00020512820512820512,0.0004040404040404041,0.0,0.0,0.0
