b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.6858105108540835,0.9382872944617127,0.9991857453641356,0.9995939086294416,0.9991857031857032,0.9983692916476421
1.1,0.563255247432764,0.8335922430845487,0.9219969733862738,0.9084665745674283,0.9546678267079872,0.8838251160059163
1.2,0.23008179514656787,0.5894076320675257,0.6980181425468385,0.8003982884465816,0.7121131778887531,0.7164902046037044
1.3,0.0036568942297731276,0.29249096034348243,0.25579378273527065,0.257346934222417,0.24233241204141565,0.22571298036203566
1.4,0.0008142546358644981,0.09302790513720278,0.07752010709590908,0.05735047957038531,0.0501526391798574,0.0682467399196136
1.5,0.0,0.019965404976087512,0.011548030086101151,0.009994196279910566,0.01016593930604083,0.014690938116753925
1.6,0.0,0.001831576207210725,0.006527680652680653,0.011623635891946265,0.00285196312027349,0.002442795299938157
1.7000000000000002,0.0004060913705583756,0.0008163477808147859,0.0028406514120799834,0.0026478814876204288,0.0004081632653061224,0.0
1.8,0.0008163477808147859,0.00041025641025641023,0.0004040404040404041,0.0004081632653061224,0.0,0.0
1.9,0.0008163477808147859,0.0004040404040404041,0.0004081632653061224,0.0004081632653061224,0.0,0.0
2.0,0.00041025641025641023,0.0004040404040404041,0.0004081632653061224,0.0,0.0,0.0004081632653061224
