b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.9584,0.92,0.0096,0.0,0.0,0.0
1.1,0.9470000000000001,0.9551999999999999,0.0116,0.0,0.0,0.0
1.2,0.9706,0.8016,0.008400000000000001,0.0,0.0,0.0
1.3,0.941,0.7506,0.0018,0.0,0.0,0.0
1.4,0.8740000000000001,0.6264,0.0038,0.0,0.0,0.0
1.5,0.7530000000000001,0.47480000000000006,0.0004,0.0,0.0,0.0
1.6,0.5486,0.4352,0.0004,0.0,0.0,0.0
1.7000000000000002,0.4656,0.43200000000000005,0.0,0.0,0.0,0.0
1.8,0.429,0.4454,0.0,0.0,0.0,0.0
1.9,0.43420000000000003,0.2736,0.0,0.0,0.0,0.0
2.0,0.46380000000000005,0.2432,0.0,0.0,0.0,0.0
