b,theta_0.0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1.0
1.0,0.43570954410307083,0.862962809795972,0.9995939086294416,0.9991857031857032,0.9983692916476421,0.9975447193944984
1.1,0.0369626734978512,0.6701526983461922,0.9234289622125869,0.9525039516368957,0.9177341408337122,0.8984968601489378
1.2,0.0008142546358644981,0.4545175281394801,0.6618742994174467,0.7094981704644635,0.6816778300117176,0.7389963353537138
1.3,0.0,0.155415603958971,0.2684125684283097,0.20561293886802418,0.20971028440293665,0.21824772248083069
1.4,0.0,0.02758556277338003,0.06790619546804627,0.041565948482911834,0.07003594760114001,0.0538330335613208
1.5,0.0004060913705583756,0.007122615227905928,0.011234289520003805,0.010768860677635153,0.01512143597803252,0.005309368417417728
1.6,0.0008163477808147859,0.0016223776223776222,0.01102680415225738,0.004057993271027258,0.0014223871366728508,0.006298560033150316
1.7000000000000002,0.0008163477808147859,0.0028406514120799834,0.0014233916917020615,0.0,0.0,0.0004081632653061224
1.8,0.00041025641025641023,0.0004040404040404041,0.0004081632653061224,0.0,0.0,0.0004081632653061224
1.9,0.0004040404040404041,0.0004081632653061224,0.0,0.0,0.0004081632653061224,0.0004081632653061224
2.0,0.0004040404040404041,0.0004081632653061224,0.0,0.0,0.0004081632653061224,0.0004020100502512563
