b,theta_0,theta_0.2,theta_0.4,theta_0.6,theta_0.8,theta_1
1.000000000000000000e+00,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01,9.991877335394923065e-01
1.100000000000000089e+00,9.834226485321133637e-01,9.679028308326503849e-01,9.554080304448641092e-01,9.164336714705052511e-01,9.164336714705052511e-01,9.164336714705052511e-01
1.199999999999999956e+00,9.006428312796316282e-01,8.316605904418294948e-01,7.973084134485514118e-01,7.987369848771227465e-01,7.987369848771227465e-01,8.011490451786303923e-01
1.300000000000000044e+00,7.881489917090993558e-01,6.390771907470987889e-01,2.406107523031509876e-01,2.437459360197780089e-01,2.437459360197780089e-01,2.437459360197780089e-01
1.399999999999999911e+00,4.506271562766975824e-01,3.680954032544100363e-01,7.625193304496974411e-02,7.541927998374525766e-02,6.758008400384575565e-02,6.758008400384575565e-02
1.500000000000000000e+00,2.322719647541419963e-01,7.067833033845000168e-02,2.015027469085766201e-02,6.966125506708478222e-03,6.966125506708478222e-03,6.966125506708478222e-03
1.600000000000000089e+00,8.194800617909120399e-02,2.838913515322446374e-02,2.468939994713190578e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
1.700000000000000178e+00,1.143661322358934321e-02,5.944607184666095105e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
1.800000000000000044e+00,6.908125077925396373e-03,2.050257057620828022e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
1.899999999999999911e+00,3.448062410917925990e-03,4.060307308877108765e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
2.000000000000000000e+00,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03,1.438012159661644163e-03
