Corr,Theta,L,b,C_mean,C_std,V_mean,V_std
max,0.2,1,1.0,1.0,0.0,0.9875,0.09925497468641055
max,0.2,1,1.1,1.0,0.0,0.9873400000000001,0.09924114267782289
max,0.2,1,1.2,1.0,0.0,0.9874599999999998,0.09925355610757731
max,0.2,1,1.3,1.0,0.0,0.8777999999999999,0.3241505205919003
max,0.2,1,1.4,0.8980878666666666,0.26583557795061546,0.56854,0.49380885816275105
max,0.2,1,1.5,0.49627186666666673,0.4416310259607925,0.25927999999999995,0.43742012025054355
max,0.2,1,1.6,0.1115352,0.31254502668124834,0.10972000000000001,0.3120935782742093
max,0.2,1,1.7,0.050019999999999995,0.21794044966458156,0.0499,0.2175090572826796
max,0.2,1,1.8,0.01,0.09949874371066199,0.00996,0.09910074873581934
max,0.2,1,1.9,0.0,0.0,0.0,0.0
max,0.2,1,2.0,6.0000000000000035e-05,0.0003411744421846398,0.0,0.0
max,0.2,4,1.0,1.0,0.0,0.9675999999999999,0.17016815213194267
max,0.2,4,1.1,1.0,0.0,0.9477600000000002,0.217433443609763
max,0.2,4,1.2,1.0,0.0,0.92786,0.25456115257438633
max,0.2,4,1.3,0.9947272666666666,0.052463034258799744,0.7082600000000001,0.45265109344836457
max,0.2,4,1.4,0.9085330666666667,0.2490069940774444,0.49885999999999997,0.49886024135022033
max,0.2,4,1.5,0.5097115999999999,0.4461480442011946,0.2693,0.44280879620892805
max,0.2,4,1.6,0.09006019999999999,0.28616317229853316,0.08978,0.2854823139880998
max,0.2,4,1.7,0.04003999999999999,0.1959512143366303,0.03992,0.19556726106380892
max,0.2,4,1.8,0.030080333333333327,0.17057354685198603,0.029939999999999998,0.17024604665013518
max,0.2,4,1.9,0.0,0.0,0.0,0.0
max,0.2,4,2.0,0.0,0.0,0.0,0.0
max,0.4,1,1.0,1.0,0.0,0.0,0.0
max,0.4,1,1.1,1.0,0.0,0.0,0.0
max,0.4,1,1.2,1.0,0.0,0.0,0.0
max,0.4,1,1.3,0.9854478666666666,0.08796848437874404,0.0,0.0
max,0.4,1,1.4,0.7572730000000001,0.3642029332084884,0.0,0.0
max,0.4,1,1.5,0.26562626666666667,0.34908283321975153,0.0,0.0
max,0.4,1,1.6,0.00014006666666666677,0.0006485741592138872,0.0,0.0
max,0.4,1,1.7,6.0133333333333376e-05,0.00034193434067571145,0.0,0.0
max,0.4,1,1.8,0.0,0.0,0.0,0.0
max,0.4,1,1.9,0.0,0.0,0.0,0.0
max,0.4,1,2.0,2.0000000000000012e-05,0.0001989974874213241,0.0,0.0
max,0.4,4,1.0,1.0,0.0,0.0,0.0
max,0.4,4,1.1,1.0,0.0,0.0,0.0
max,0.4,4,1.2,1.0,0.0,0.0,0.0
max,0.4,4,1.3,0.9744756666666666,0.12580526743035136,0.0,0.0
max,0.4,4,1.4,0.7913271333333334,0.3532350286370629,0.0,0.0
max,0.4,4,1.5,0.3455807333333334,0.3840779205941246,0.0,0.0
max,0.4,4,1.6,0.010382133333333331,0.09953297893609601,0.0,0.0
max,0.4,4,1.7,4.0000000000000024e-05,0.0002800000000000002,0.0,0.0
max,0.4,4,1.8,0.0,0.0,0.0,0.0
max,0.4,4,1.9,4.0000000000000024e-05,0.0002800000000000002,0.0,0.0
max,0.4,4,2.0,0.00012000000000000007,0.0006823488843692796,0.0,0.0
max,0.6,1,1.0,1.0,0.0,0.0,0.0
max,0.6,1,1.1,1.0,0.0,0.0,0.0
max,0.6,1,1.2,0.9961757333333332,0.038050972894789474,0.0,0.0
max,0.6,1,1.3,0.9574898666666667,0.1578277378535922,0.0,0.0
max,0.6,1,1.4,0.7705105333333334,0.34598768892186516,0.0,0.0
max,0.6,1,1.5,0.2839832,0.3645570912710137,0.0,0.0
max,0.6,1,1.6,0.011259866666666667,0.10008687928208508,0.0,0.0
max,0.6,1,1.7,4.0000000000000024e-05,0.00028000000000000025,0.0,0.0
max,0.6,1,1.8,0.0,0.0,0.0,0.0
max,0.6,1,1.9,0.0,0.0,0.0,0.0
max,0.6,1,2.0,2.0000000000000012e-05,0.0001989974874213241,0.0,0.0
max,0.6,4,1.0,1.0,0.0,0.0,0.0
max,0.6,4,1.1,1.0,0.0,0.0,0.0
