Corr,Theta,L,b,C_mean,C_std,V_mean,V_std
max,0.2,1,1.0,1.0,0.0,0.9976200000000002,0.000924986486387775
max,0.2,1,1.1,1.0,0.0,0.9975800000000001,0.0011061645447219878
max,0.2,1,1.2,0.932496,0.21394778636542763,0.9078,0.2854938878505108
max,0.2,1,1.3,0.17110513333333338,0.147220269108284,0.02984,0.1696793870804583
max,0.2,1,1.4,0.07490466666666665,0.033931203855906894,0.0,0.0
max,0.2,1,1.5,0.002867533333333331,0.01181178622882904,0.0,0.0
max,0.2,1,1.6,0.0,0.0,0.0,0.0
max,0.2,1,1.7,0.0,0.0,0.0,0.0
max,0.2,1,1.8,0.0,0.0,0.0,0.0
max,0.2,1,1.9,6.000000000000004e-05,0.0005969924622639724,0.0,0.0
max,0.2,1,2.0,0.0003200000000000002,0.0014062716664997568,0.0,0.0
max,0.2,4,1.0,1.0,0.0,0.98784,0.0992837066189614
max,0.2,4,1.1,1.0,0.0,0.9877400000000001,0.09927442973898161
max,0.2,4,1.2,0.8242027333333333,0.31313404950751256,0.75814,0.4260400220636554
max,0.2,4,1.3,0.14443300000000003,0.024981085598241467,0.0,0.0
max,0.2,4,1.4,0.07911899999999998,0.0314145255203173,0.0,0.0
max,0.2,4,1.5,0.0028105999999999986,0.012409016152065487,0.0,0.0
max,0.2,4,1.6,0.0,0.0,0.0,0.0
max,0.2,4,1.7,0.0,0.0,0.0,0.0
max,0.2,4,1.8,0.0,0.0,0.0,0.0
max,0.2,4,1.9,6.000000000000004e-05,0.0005969924622639724,0.0,0.0
max,0.2,4,2.0,0.0001400000000000001,0.000990151503558926,0.0,0.0
max,0.4,1,1.0,1.0,0.0,0.0,0.0
max,0.4,1,1.1,1.0,0.0,0.0,0.0
max,0.4,1,1.2,0.2648920666666667,0.029056779384049672,0.0,0.0
max,0.4,1,1.3,0.14692573333333336,0.02185395886881828,0.0,0.0
max,0.4,1,1.4,0.06960233333333331,0.039220732605487,0.0,0.0
max,0.4,1,1.5,0.004392066666666664,0.01570429726596442,0.0,0.0
max,0.4,1,1.6,0.0,0.0,0.0,0.0
max,0.4,1,1.7,0.0,0.0,0.0,0.0
max,0.4,1,1.8,0.0,0.0,0.0,0.0
max,0.4,1,1.9,0.0,0.0,0.0,0.0
max,0.4,1,2.0,0.00030000000000000024,0.001307669683062203,0.0,0.0
max,0.4,4,1.0,1.0,0.0,0.0,0.0
max,0.4,4,1.1,0.9997061333333334,0.002923936415177366,0.0,0.0
max,0.4,4,1.2,0.26738113333333335,0.028317540603425746,0.0,0.0
max,0.4,4,1.3,0.14263140000000002,0.022851147567487996,0.0,0.0
max,0.4,4,1.4,0.06819339999999997,0.037846405629949405,0.0,0.0
max,0.4,4,1.5,0.002979199999999998,0.013462196230927544,0.0,0.0
max,0.4,4,1.6,0.0,0.0,0.0,0.0
max,0.4,4,1.7,0.0,0.0,0.0,0.0
max,0.4,4,1.8,0.0,0.0,0.0,0.0
max,0.4,4,1.9,0.0,0.0,0.0,0.0
max,0.4,4,2.0,0.00030000000000000024,0.0013076696830622032,0.0,0.0
max,0.6,1,1.0,1.0,0.0,0.0,0.0
max,0.6,1,1.1,1.0,0.0,0.0,0.0
max,0.6,1,1.2,0.26007033333333335,0.032365805527507625,0.0,0.0
max,0.6,1,1.3,0.15166840000000004,0.024892574486201937,0.0,0.0
max,0.6,1,1.4,0.07623519999999998,0.03338991501875978,0.0,0.0
max,0.6,1,1.5,0.004273199999999996,0.015695067759720623,0.0,0.0
max,0.6,1,1.6,0.0,0.0,0.0,0.0
max,0.6,1,1.7,0.0,0.0,0.0,0.0
max,0.6,1,1.8,0.0,0.0,0.0,0.0
max,0.6,1,1.9,6.000000000000004e-05,0.0005969924622639725,0.0,0.0
max,0.6,1,2.0,0.00018000000000000012,0.0010235233265539197,0.0,0.0
max,0.6,4,1.0,1.0,0.0,0.0,0.0
max,0.6,4,1.1,1.0,0.0,0.0,0.0
max,0.6,4,1.2,0.26608360000000003,0.029175269396756767,0.0,0.0
max,0.6,4,1.3,0.14306593333333337,0.022491518359792618,0.0,0.0
max,0.6,4,1.4,0.07579533333333331,0.03435668480320339,0.0,0.0
max,0.6,4,1.5,0.004237866666666663,0.015882773641905233,0.0,0.0
max,0.6,4,1.6,0.0,0.0,0.0,0.0
max,0.6,4,1.7,0.0,0.0,0.0,0.0
max,0.6,4,1.8,0.0,0.0,0.0,0.0
max,0.6,4,1.9,0.00012006666666666676,0.000840466798868344,0.0,0.0
max,0.6,4,2.0,0.0004000000000000003,0.0016000000000000012,0.0,0.0
nulle,0.2,1,1.0,0.9999026666666667,0.0009684544387838582,0.99768,0.0009260669522232189
nulle,0.2,1,1.1,0.9999017333333333,0.0009777409881967481,0.9178200000000001,0.27065359336243816
